compl,accel,decel,result,cluster_ca,cluster_cd,cluster_ad,cluster_cad
3,5,4,94,8,2,11,1
1,5,1,27,10,1,8,2
1,4,3,42,9,1,2,2
1,5,1,24,10,1,8,2
4,5,5,75,3,2,15,1
1,1,3,25,12,1,12,2
3,4,5,45,13,2,14,1
5,5,5,91,11,2,15,1
3,5,4,83,8,2,11,1
1,5,3,46,10,1,9,2
2,3,2,30,15,1,4,2
3,5,5,95,8,2,15,1
5,5,5,100,11,2,15,1
3,5,5,79,8,2,15,1
4,4,3,91,7,2,2,1
4,5,4,89,3,2,11,1
3,5,4,59,8,2,11,1
4,5,4,85,3,2,11,1
5,5,5,90,11,2,15,1
3,5,3,92,8,1,9,1
5,5,5,99,11,2,15,1
3,3,1,35,6,1,4,2
5,1,1,32,1,1,10,2
1,3,1,38,15,1,4,2
1,1,1,23,12,1,10,2
2,5,5,45,10,2,15,1
4,5,5,70,3,2,15,1
5,4,4,90,7,2,6,1
5,3,1,94,4,1,4,2
5,5,1,31,11,1,8,1
3,5,5,91,8,2,15,1
3,3,1,56,6,1,4,2
1,2,1,24,5,1,7,2
3,5,5,87,8,2,15,1
3,4,3,68,13,1,2,1
1,1,5,53,12,2,13,2
1,3,4,50,15,1,3,2
5,4,3,62,7,2,2,1
5,3,4,89,4,2,3,1
2,5,5,60,10,2,15,1
5,5,1,31,11,1,8,1
1,1,1,24,12,1,10,2
1,5,4,43,10,1,11,1
5,5,5,98,11,2,15,1
4,5,4,88,3,2,11,1
1,2,1,24,5,1,7,2
3,5,4,74,8,2,11,1
3,5,3,62,8,1,9,1
5,4,5,99,7,2,14,1
2,5,5,68,10,2,15,1
5,5,4,91,11,2,11,1
5,5,5,98,11,2,15,1
1,2,3,25,5,1,12,2
3,5,5,76,8,2,15,1
1,1,1,25,12,1,10,2
1,5,3,31,10,1,9,2
4,5,5,96,3,2,15,1
1,1,1,28,12,1,10,2
2,5,5,68,10,2,15,1
5,3,2,67,4,2,4,2
4,5,2,89,3,1,9,1
1,3,3,40,15,1,1,2
1,3,4,50,15,1,3,2
5,5,3,82,11,2,9,1
1,4,1,27,9,1,8,2
3,5,4,81,8,2,11,1
2,5,3,43,10,1,9,1
1,3,5,49,15,2,5,2
5,5,5,90,11,2,15,1
1,5,3,32,10,1,9,2
5,5,5,92,11,2,15,1
4,5,5,89,3,2,15,1
2,5,4,48,10,1,11,1
1,5,4,39,10,1,11,1
4,5,5,99,3,2,15,1
3,5,5,93,8,2,15,1
1,5,5,58,10,2,15,1
1,5,3,46,10,1,9,2
3,3,3,75,6,1,1,2
1,3,1,31,15,1,4,2
1,1,1,24,12,1,10,2
4,5,5,94,3,2,15,1
4,5,4,89,3,2,11,1
3,5,3,82,8,1,9,1
4,5,4,81,3,2,11,1
1,3,1,31,15,1,4,2
5,4,3,62,7,2,2,1
3,2,4,68,2,2,12,2
3,3,3,74,6,1,1,2
5,5,5,98,11,2,15,1
1,4,3,30,9,1,2,2
5,5,5,87,11,2,15,1
3,4,3,73,13,1,2,1
2,3,4,53,15,1,3,2
4,5,4,89,3,2,11,1
3,5,5,82,8,2,15,1
4,5,5,77,3,2,15,1
4,4,4,97,7,2,6,1
3,4,5,90,13,2,14,1
5,5,5,95,11,2,15,1
5,5,5,94,11,2,15,1
3,5,5,87,8,2,15,1
1,5,5,28,10,2,15,1
2,1,1,24,12,1,10,2
4,5,4,89,3,2,11,1
3,3,5,66,6,2,5,1
1,5,1,24,10,1,8,2
5,5,4,76,11,2,11,1
4,4,3,91,7,2,2,1
1,4,3,42,9,1,2,2
3,5,4,74,8,2,11,1
2,5,4,46,10,1,11,1
4,5,5,98,3,2,15,1
1,5,5,63,10,2,15,1
3,5,3,92,8,1,9,1
3,4,5,78,13,2,14,1
1,5,3,38,10,1,9,2
3,2,5,76,2,2,13,2
2,5,5,82,10,2,15,1
3,5,3,63,8,1,9,1
1,2,1,23,5,1,7,2
3,5,5,98,8,2,15,1
4,5,2,77,3,1,9,1
4,4,4,92,7,2,6,1
4,5,5,75,3,2,15,1
5,5,5,97,11,2,15,1
4,5,5,99,3,2,15,1
3,4,3,90,13,1,2,1
3,4,5,90,13,2,14,1
3,3,3,65,6,1,1,2
3,3,1,56,6,1,4,2
2,5,3,63,10,1,9,1
2,5,3,55,10,1,9,1
1,4,4,51,9,1,6,2
3,5,5,56,8,2,15,1
2,5,3,41,10,1,9,1
2,4,3,41,14,1,2,2
3,4,3,49,13,1,2,1
3,5,5,82,8,2,15,1
5,5,5,95,11,2,15,1
5,3,4,92,4,2,3,1
5,1,5,94,1,2,13,1
4,5,5,97,3,2,15,1
1,3,2,33,15,1,4,2
4,5,5,95,3,2,15,1
1,1,1,23,12,1,10,2
3,5,5,93,8,2,15,1
3,5,3,73,8,1,9,1
2,5,5,48,10,2,15,1
5,5,5,94,11,2,15,1
3,5,4,81,8,2,11,1
5,5,5,99,11,2,15,1
3,5,5,97,8,2,15,1
2,4,3,63,14,1,2,2
3,4,3,73,13,1,2,1
5,3,3,95,4,2,1,1
3,5,5,94,8,2,15,1
3,5,5,92,8,2,15,1
2,4,3,53,14,1,2,2
5,5,5,94,11,2,15,1
1,3,1,31,15,1,4,2
1,3,3,25,15,1,1,2
1,5,3,31,10,1,9,2
3,5,3,76,8,1,9,1
4,4,4,91,7,2,6,1
2,3,1,29,15,1,4,2
3,5,5,93,8,2,15,1
1,5,5,28,10,2,15,1
3,5,5,77,8,2,15,1
5,5,3,95,11,2,9,1
1,2,3,25,5,1,12,2
5,5,5,88,11,2,15,1
3,3,5,43,6,2,5,1
5,5,3,85,11,2,9,1
2,5,3,43,10,1,9,1
3,4,3,80,13,1,2,1
3,5,5,89,8,2,15,1
3,3,5,66,6,2,5,1
1,4,3,38,9,1,2,2
1,5,5,45,10,2,15,1
4,5,5,88,3,2,15,1
5,5,5,92,11,2,15,1
